Id;Title;Section;IsHorizontal
00;Panini Logo;We Are Panini;true
FWC1;Official Emblem;FIFA World Cup 2026;true
FWC2;Official Emblem;FIFA World Cup 2026;true
FWC3;Official Mascots;FIFA World Cup 2026;true
FWC4;Official Slogan;FIFA World Cup 2026;false
FWC5;Official Ball;FIFA World Cup 2026;false
FWC6;Canada;Host Countries and Cities;false
FWC7;Mexico;Host Countries and Cities;false
FWC8;USA;Host Countries and Cities;false
MEX1;Emblem;Mexico;false
MEX2;Luis Malagón;Mexico;false
MEX3;Johan Vasquez;Mexico;false
MEX4;Jorge Sánchez;Mexico;false
MEX5;Cesar Montes;Mexico;false
MEX6;Jesus Gallardo;Mexico;false
MEX7;Israel Reyes;Mexico;false
MEX8;Diego Lainez;Mexico;false
MEX9;Carlos Rodriguez;Mexico;false
MEX10;Edson Alvarez;Mexico;false
MEX11;Orbelin Pineda;Mexico;false
MEX12;Marcel Ruiz;Mexico;false
MEX13;Team Photo;Mexico;true
MEX14;Érick Sánchez;Mexico;false
MEX15;Hirving Lozano;Mexico;false
MEX16;Santiago Giménez;Mexico;false
MEX17;Raúl Jiménez;Mexico;false
MEX18;Alexis Vega;Mexico;false
MEX19;Roberto Alvarado;Mexico;false
MEX20;Cesar Huerta;Mexico;false
RSA1;Emblem;South Africa;false
RSA2;Ronwen Williams;South Africa;false
RSA3;Sipho Chaine;South Africa;false
RSA4;Aubrey Modiba;South Africa;false
RSA5;Samukele Kabini;South Africa;false
RSA6;Mbekezeli Mbokazi;South Africa;false
RSA7;Khulumani Ndamane;South Africa;false
RSA8;Siyabonga Ngezana;South Africa;false
RSA9;Khuliso Mudau;South Africa;false
RSA10;Nkosinathi Sibisi;South Africa;false
RSA11;Teboho Mokoena;South Africa;false
RSA12;Thalente Mbatha;South Africa;false
RSA13;Team Photo;South Africa;true
RSA14;Bathasi Aubaas;South Africa;false
RSA15;Yaya Sithole;South Africa;false
RSA16;Sipho Mbule;South Africa;false
RSA17;Lyle Foster;South Africa;false
RSA18;Iqraam Rayners;South Africa;false
RSA19;Mohau Nkota;South Africa;false
RSA20;Oswin Appollis;South Africa;false
